dynamicColors	mergedColors
CSTF3	brown	brown
CTAGE11P	tan	brown
CTAGE5	cyan	cyan
CTBP1	pink	pink
CTBP2	blue	blue
CTBS	midnightblue	black
CTC1	red	blue
CTCF	pink	pink
CTDNEP1	pink	pink
CTDP1	pink	pink
CTDSP1	turquoise	turquoise
CTDSP2	pink	pink
CTDSPL	grey	grey
CTDSPL2	black	black
CTH	green	green
CTHRC1	grey	grey
CTIF	grey	grey
CTLA4	black	black
CTNNA1	turquoise	turquoise
CTNNAL1	green	green
CTNNB1	black	black
CTNNBIP1	pink	pink
CTNNBL1	blue	blue
CTNS	turquoise	turquoise
CTPS2	turquoise	turquoise
CTR9	brown	brown
CTRL	green	green
CTSA	turquoise	turquoise
CTSB	turquoise	turquoise
CTSC	turquoise	turquoise
CTSD	turquoise	turquoise
CTSF	blue	blue
CTSH	turquoise	turquoise
CTSK	purple	purple
CTSO	brown	brown
CTSS	turquoise	turquoise
CTSW	turquoise	turquoise
CTSZ	blue	blue
CTTN	blue	blue
CTTNBP2NL	turquoise	turquoise
CTU1	blue	blue
CTU2	yellow	green
CUBN	purple	purple
CUEDC2	turquoise	turquoise
CUL1	blue	blue
CUL2	magenta	magenta
CUL3	green	green
CUL4A	turquoise	turquoise
CUL4B	tan	brown
CUL5	midnightblue	black
CUL7	turquoise	turquoise
CUL9	salmon	purple
CUTA	blue	blue
CUTC	turquoise	turquoise
CUX1	salmon	purple
CWC15	yellow	green
CWC22	midnightblue	black
CWC25	green	green
CWC27	brown	brown
CWF19L1	yellow	green
CWF19L2	purple	purple
CX3CR1	brown	brown
CXADR	grey	grey
CXCL16	brown	brown
CXCR2	blue	blue
CXCR3	blue	blue
CXCR4	greenyellow	greenyellow
CXCR5	greenyellow	greenyellow
CXCR6	green	green
CXXC1	red	blue
CXXC5	grey	grey
CXorf21	cyan	cyan
CXorf23	brown	brown
CXorf36	yellow	green
CXorf38	grey	grey
CXorf40A	red	blue
CXorf40B	red	blue
CXorf56	yellow	green
CXorf57	grey	grey
CXorf58	grey	grey
CXorf65	yellow	green
CYB561	turquoise	turquoise
CYB561D1	turquoise	turquoise
CYB561D2	turquoise	turquoise
CYB5A	turquoise	turquoise
CYB5B	turquoise	turquoise
CYB5D1	turquoise	turquoise
CYB5D2	turquoise	turquoise
CYB5R1	turquoise	turquoise
CYB5R3	blue	blue
CYB5R4	brown	brown
CYB5RL	turquoise	turquoise
CYBA	pink	pink
CYBB	grey	grey
CYBRD1	grey	grey
CYC1	blue	blue
CYCS	greenyellow	greenyellow
CYCSP52	greenyellow	greenyellow
CYFIP1	turquoise	turquoise
CYFIP2	turquoise	turquoise
CYHR1	turquoise	turquoise
CYLD	green	green
CYP1A2	green	green
CYP1B1	grey	grey
CYP20A1	blue	blue
CYP21A1P	magenta	magenta
CYP24A1	grey	grey
CYP27A1	grey	grey
CYP27B1	green	green
CYP27C1	green	green
CYP2B6	pink	pink
CYP2D6	blue	blue
CYP2E1	grey	grey
CYP2F1	grey	grey
CYP2J2	grey	grey
CYP2R1	magenta	magenta
CYP2U1	grey	grey
CYP2W1	yellow	green
CYP3A5	green	green
CYP4A11	turquoise	turquoise
CYP4F12	grey	grey
CYP4F22	blue	blue
CYP4F35P	cyan	cyan
CYP4V2	turquoise	turquoise
CYP51A1	green	green
CYP8B1	grey	grey
CYSLTR1	brown	brown
CYSLTR2	greenyellow	greenyellow
CYSTM1	grey	grey
CYTH1	yellow	green
CYTH2	turquoise	turquoise
CYTH3	yellow	green
CYTH4	blue	blue
CYTIP	greenyellow	greenyellow
D2HGDH	blue	blue
D4S234E	turquoise	turquoise
DAAM1	brown	brown
DAB1	turquoise	turquoise
DAD1	brown	brown
DAG1	yellow	green
DAGLA	grey	grey
DAGLB	red	blue
DAK	turquoise	turquoise
DALRD3	turquoise	turquoise
DANCR	yellow	green
DAND5	purple	purple
DAP	turquoise	turquoise
DAP3	blue	blue
DAPK1	grey	grey
DAPK2	turquoise	turquoise
DAPK3	red	blue
DAPP1	red	blue
DARS	brown	brown
DARS2	brown	brown
DAXX	blue	blue
DAZAP1	pink	pink
DAZAP2	yellow	green
DBF4	black	black
DBF4B	turquoise	turquoise
DBH	grey	grey
DBI	turquoise	turquoise
DBIL5P	grey	grey
DBIL5P2	grey	grey
DBNDD1	turquoise	turquoise
DBNDD2	blue	blue
DBNL	turquoise	turquoise
DBP	pink	pink
DBR1	green	green
DBT	turquoise	turquoise
DCAF10	turquoise	turquoise
DCAF11	turquoise	turquoise
DCAF12	turquoise	turquoise
DCAF13	tan	brown
DCAF15	pink	pink
DCAF16	purple	purple
DCAF17	tan	brown
DCAF4	blue	blue
DCAF4L1	magenta	magenta
DCAF5	red	blue
DCAF6	brown	brown
DCAF7	turquoise	turquoise
DCAF8	salmon	purple
DCAKD	turquoise	turquoise
DCBLD1	brown	brown
DCBLD2	black	black
DCDC2	grey	grey
DCDC2B	turquoise	turquoise
DCHS1	blue	blue
DCK	tan	brown
DCLRE1A	turquoise	turquoise
DCLRE1B	yellow	green
DCLRE1C	magenta	magenta
DCP1A	green	green
DCP1B	turquoise	turquoise
DCP2	magenta	magenta
DCPS	blue	blue
DCST2	green	green
DCTD	turquoise	turquoise
DCTN1	blue	blue
DCTN2	red	blue
DCTN3	blue	blue
DCTN4	green	green
DCTN5	yellow	green
DCTN6	greenyellow	greenyellow
DCTPP1	red	blue
DCUN1D1	midnightblue	black
DCUN1D2	salmon	purple
DCUN1D3	turquoise	turquoise
DCUN1D4	tan	brown
DCUN1D5	black	black
DCX	green	green
DCXR	turquoise	turquoise
DDA1	yellow	green
DDAH2	turquoise	turquoise
DDB1	red	blue
DDB2	blue	blue
DDHD1	magenta	magenta
DDHD2	magenta	magenta
DDI2	yellow	green
DDIT3	green	green
DDIT4	greenyellow	greenyellow
DDOST	turquoise	turquoise
DDR1	black	black
DDR2	grey	grey
DDRGK1	blue	blue
DDTL	grey	grey
DDX1	black	black
DDX10	turquoise	turquoise
DDX11	grey	grey
DDX11L2	grey	grey
DDX12P	purple	purple
DDX17	turquoise	turquoise
DDX18	magenta	magenta
DDX19A	red	blue
DDX19B	yellow	green
DDX20	green	green
DDX21	green	green
DDX23	blue	blue
DDX24	green	green
DDX26B	brown	brown
DDX27	yellow	green
DDX28	red	blue
DDX31	yellow	green
DDX39A	yellow	green
DDX39B	grey	grey
DDX3X	magenta	magenta
DDX3Y	grey	grey
DDX41	turquoise	turquoise
DDX42	pink	pink
DDX43	turquoise	turquoise
DDX46	turquoise	turquoise
DDX47	green	green
DDX49	red	blue
DDX5	midnightblue	black
DDX50	turquoise	turquoise
DDX51	purple	purple
DDX52	black	black
DDX54	blue	blue
DDX55	yellow	green
DDX56	red	blue
DDX58	brown	brown
DDX59	turquoise	turquoise
DDX6	black	black
DDX60	brown	brown
DDX60L	brown	brown
DEAF1	pink	pink
DECR1	brown	brown
DECR2	blue	blue
DEDD	yellow	green
DEDD2	yellow	green
DEF6	blue	blue
DEF8	red	blue
DEGS1	yellow	green
DEGS2	grey	grey
DEK	tan	brown
DENND1A	pink	pink
DENND1B	yellow	green
DENND1C	turquoise	turquoise
DENND2C	turquoise	turquoise
DENND2D	brown	brown
DENND3	green	green
DENND4A	magenta	magenta
DENND4B	salmon	purple
DENND4C	tan	brown
DENND5A	turquoise	turquoise
DENND5B	grey	grey
DENR	brown	brown
DEPDC1	blue	blue
DEPDC1B	grey	grey
DEPDC4	grey	grey
DEPDC5	purple	purple
DEPDC7	grey	grey
DEPTOR	grey	grey
DERA	brown	brown
DERL1	black	black
DERL2	green	green
DERL3	grey	grey
DET1	turquoise	turquoise
DEXI	turquoise	turquoise
DFFA	turquoise	turquoise
DFFB	turquoise	turquoise
DFNA5	grey	grey
DFNB31	salmon	purple
DFNB59	grey	grey
DGAT1	black	black
DGCR11	yellow	green
DGCR14	yellow	green
DGCR2	blue	blue
DGCR6	yellow	green
DGCR6L	blue	blue
DGCR8	turquoise	turquoise
DGCR9	blue	blue
DGKA	turquoise	turquoise
DGKB	salmon	purple
DGKD	salmon	purple
DGKE	green	green
DGKH	pink	pink
DGKQ	turquoise	turquoise
DGKZ	turquoise	turquoise
DGUOK	turquoise	turquoise
DHCR24	turquoise	turquoise
DHCR7	yellow	green
DHDDS	turquoise	turquoise
DHDH	grey	grey
DHFR	turquoise	turquoise
DHFRL1	turquoise	turquoise
DHODH	turquoise	turquoise
DHPS	turquoise	turquoise
DHRS1	turquoise	turquoise
DHRS11	pink	pink
DHRS12	turquoise	turquoise
DHRS13	pink	pink
DHRS3	yellow	green
DHRS4	turquoise	turquoise
DHRS4L2	salmon	purple
DHRS7	turquoise	turquoise
DHRS7B	turquoise	turquoise
DHTKD1	turquoise	turquoise
DHX15	black	black
DHX16	turquoise	turquoise
DHX29	black	black
DHX30	yellow	green
DHX32	turquoise	turquoise
DHX33	magenta	magenta
DHX34	turquoise	turquoise
DHX35	red	blue
DHX36	greenyellow	greenyellow
DHX37	purple	purple
DHX38	red	blue
DHX40	turquoise	turquoise
DHX57	purple	purple
DHX58	turquoise	turquoise
DHX8	yellow	green
DHX9	black	black
DIABLO	red	blue
DIAPH1	pink	pink
DIAPH2	salmon	purple
DICER1	purple	purple
DICER1-AS1	turquoise	turquoise
DIDO1	salmon	purple
DIEXF	blue	blue
DIMT1	red	blue
DIP2A	salmon	purple
DIP2B	blue	blue
DIP2C	blue	blue
DIRC2	green	green
DIRC3	blue	blue
DIS3	midnightblue	black
DIS3L	turquoise	turquoise
DIS3L2	salmon	purple
DISC1	turquoise	turquoise
DISC2	grey	grey
DISP1	brown	brown
DIXDC1	grey	grey
DKC1	red	blue
DKFZP434H168	turquoise	turquoise
DKFZP434I0714	greenyellow	greenyellow
DKFZP434L187	green	green
DKFZp779M0652	turquoise	turquoise
DKK3	grey	grey
DLAT	black	black
DLD	black	black
DLEC1	blue	blue
DLEU1	brown	brown
DLEU2	magenta	magenta
DLEU2L	magenta	magenta
DLEU7	grey	grey
DLG1	magenta	magenta
DLG2	turquoise	turquoise
DLG3	green	green
DLG4	grey	grey
DLG5	greenyellow	greenyellow
DLGAP1	blue	blue
DLGAP3	black	black
DLGAP4	turquoise	turquoise
DLK2	grey	grey
DLL1	brown	brown
DLST	yellow	green
DLX6-AS1	magenta	magenta
DMAP1	blue	blue
DMBX1	purple	purple
DMC1	grey	grey
DMD	yellow	green
DMKN	grey	grey
DMPK	grey	grey
DMTF1	magenta	magenta
DMWD	pink	pink
DMXL1	magenta	magenta
DMXL2	grey	grey
DNA2	magenta	magenta
DNAAF2	grey	grey
DNAH1	salmon	purple
DNAH10	grey	grey
DNAH12	grey	grey
DNAH14	grey	grey
DNAH17	purple	purple
DNAH3	blue	blue
DNAH6	turquoise	turquoise
DNAH7	brown	brown
DNAH8	grey	grey
DNAI2	turquoise	turquoise
DNAJA1	green	green
DNAJA2	yellow	green
DNAJA3	turquoise	turquoise
DNAJA4	blue	blue
DNAJB1	greenyellow	greenyellow
DNAJB11	yellow	green
DNAJB12	red	blue
DNAJB13	grey	grey
DNAJB14	magenta	magenta
DNAJB2	pink	pink
DNAJB4	black	black
DNAJB5	grey	grey
DNAJB6	green	green
DNAJB7	grey	grey
DNAJB9	black	black
DNAJC1	yellow	green
DNAJC10	brown	brown
DNAJC11	blue	blue
DNAJC13	brown	brown
DNAJC14	red	blue
DNAJC15	magenta	magenta
DNAJC16	brown	brown
DNAJC17	turquoise	turquoise
DNAJC18	yellow	green
DNAJC19	tan	brown
DNAJC2	black	black
DNAJC21	pink	pink
DNAJC22	green	green
DNAJC24	brown	brown
DNAJC25	green	green
DNAJC27	green	green
DNAJC27-AS1	green	green
DNAJC28	grey	grey
DNAJC3	black	black
DNAJC30	blue	blue
DNAJC4	blue	blue
DNAJC5	pink	pink
DNAJC6	grey	grey
DNAJC7	yellow	green
DNAJC8	red	blue
DNAJC9	yellow	green
DNAL1	purple	purple
DNAL4	turquoise	turquoise
DNASE1	turquoise	turquoise
DNASE1L1	blue	blue
DNASE2	blue	blue
DND1	green	green
DNHD1	purple	purple
DNLZ	turquoise	turquoise
DNM1	grey	grey
DNM1L	magenta	magenta
DNM1P35	grey	grey
DNM1P46	blue	blue
DNM2	pink	pink
DNM3	grey	grey
DNM3OS	grey	grey
DNMBP	red	blue
DNMBP-AS1	yellow	green
DNMT1	turquoise	turquoise
DNMT3A	blue	blue
DNMT3B	blue	blue
DNPEP	blue	blue
DNTTIP1	red	blue
DNTTIP2	midnightblue	black
DOC2GP	grey	grey
DOCK10	purple	purple
DOCK11	turquoise	turquoise
DOCK2	salmon	purple
DOCK3	grey	grey
DOCK4	grey	grey
DOCK5	grey	grey
DOCK7	turquoise	turquoise
DOCK8	turquoise	turquoise
DOCK9	brown	brown
DOHH	salmon	purple
DOK1	blue	blue
DOK2	red	blue
DOK3	turquoise	turquoise
DOK4	blue	blue
DOK6	turquoise	turquoise
DOLK	cyan	cyan
DOLPP1	turquoise	turquoise
DONSON	green	green
DOPEY1	magenta	magenta
DOPEY2	salmon	purple
DOT1L	green	green
DPAGT1	turquoise	turquoise
DPCD	pink	pink
DPEP2	turquoise	turquoise
DPEP3	salmon	purple
DPF2	red	blue
DPF3	grey	grey
DPH1	red	blue
DPH2	turquoise	turquoise
DPH3	cyan	cyan
DPH3P1	red	blue
DPH5	brown	brown
DPM1	black	black
DPM2	turquoise	turquoise
DPM3	turquoise	turquoise
DPP3	turquoise	turquoise
DPP4	brown	brown
DPP7	red	blue
DPP8	midnightblue	black
DPP9	red	blue
DPPA3	blue	blue
DPPA4	purple	purple
DPY19L1	grey	grey
DPY19L1P1	grey	grey
DPY19L2	grey	grey
DPY19L2P2	salmon	purple
DPY19L2P3	grey	grey
DPY19L3	turquoise	turquoise
DPY19L4	brown	brown
DPY30	brown	brown
DPYD	turquoise	turquoise
DPYSL2	brown	brown
DPYSL4	grey	grey
DPYSL5	purple	purple
DR1	black	black
DRAM1	brown	brown
DRAM2	tan	brown
DRAP1	blue	blue
DRD3	grey	grey
DRG1	yellow	green
DRG2	blue	blue
DROSHA	turquoise	turquoise
DSC1	grey	grey
DSC3	purple	purple
DSCC1	grey	grey
DSCR3	blue	blue
DSCR9	grey	grey
DSE	grey	grey
DSEL	grey	grey
DSG2	green	green
DSN1	black	black
DST	red	blue
DSTN	brown	brown
DSTNP2	brown	brown
DSTYK	green	green
DTD1	turquoise	turquoise
DTHD1	brown	brown
DTL	blue	blue
DTNB	salmon	purple
DTNBP1	turquoise	turquoise
DTWD1	tan	brown
DTWD2	brown	brown
DTX1	grey	grey
DTX2	salmon	purple
DTX2P1-UPK3BP1-PMS2P11	purple	purple
DTX3	pink	pink
DTX3L	brown	brown
DTX4	grey	grey
DTYMK	turquoise	turquoise
DUOX1	salmon	purple
DUS1L	pink	pink
DUS3L	yellow	green
DUS4L	brown	brown
DUSP1	greenyellow	greenyellow
DUSP10	green	green
DUSP11	green	green
DUSP12	yellow	green
DUSP14	red	blue
DUSP16	greenyellow	greenyellow
DUSP18	turquoise	turquoise
DUSP19	brown	brown
DUSP2	greenyellow	greenyellow
DUSP22	turquoise	turquoise
DUSP23	turquoise	turquoise
DUSP28	pink	pink
DUSP3	blue	blue
DUSP4	greenyellow	greenyellow
DUSP5	greenyellow	greenyellow
DUSP6	grey	grey
DUSP7	turquoise	turquoise
DUSP8	green	green
DUT	turquoise	turquoise
DUXA	green	green
DVL1	pink	pink
DVL2	blue	blue
DVL3	purple	purple
DYDC1	green	green
DYDC2	turquoise	turquoise
DYM	turquoise	turquoise
DYNC1H1	yellow	green
DYNC1I2	brown	brown
DYNC1LI1	black	black
DYNC1LI2	green	green
DYNC2H1	grey	grey
DYNC2LI1	brown	brown
DYNLL1	brown	brown
DYNLL2	green	green
DYNLRB1	blue	blue
DYNLT1	greenyellow	greenyellow
DYNLT3	black	black
DYRK1A	turquoise	turquoise
DYRK1B	turquoise	turquoise
DYRK2	greenyellow	greenyellow
DYRK3	turquoise	turquoise
DYRK4	turquoise	turquoise
DYX1C1	grey	grey
DZANK1	magenta	magenta
DZIP1	yellow	green
DZIP3	brown	brown
E2F1	blue	blue
E2F2	turquoise	turquoise
E2F3	turquoise	turquoise
E2F4	pink	pink
E2F5	turquoise	turquoise
E2F6	magenta	magenta
E2F7	grey	grey
E4F1	red	blue
EAF1	black	black
EAF2	greenyellow	greenyellow
EAPP	midnightblue	black
EARS2	salmon	purple
EBAG9	brown	brown
EBF1	grey	grey
EBF4	grey	grey
EBLN2	magenta	magenta
EBNA1BP2	turquoise	turquoise
EBP	red	blue
EBPL	brown	brown
ECD	yellow	green
ECE1	blue	blue
ECE2	turquoise	turquoise
ECH1	turquoise	turquoise
ECHDC1	brown	brown
ECHDC2	blue	blue
ECHDC3	greenyellow	greenyellow
ECHS1	turquoise	turquoise
ECI1	black	black
ECI2	brown	brown
ECM2	green	green
ECSCR	grey	grey
ECSIT	blue	blue
ECT2	greenyellow	greenyellow
ECT2L	magenta	magenta
EDA	blue	blue
EDAR	turquoise	turquoise
EDARADD	red	blue
EDC3	turquoise	turquoise
EDC4	yellow	green
EDEM1	turquoise	turquoise
EDEM2	red	blue
EDEM3	tan	brown
EDF1	turquoise	turquoise
EDN1	grey	grey
EDN3	grey	grey
EEA1	brown	brown
EED	black	black
EEF1A1	cyan	cyan
EEF1B2	cyan	cyan
EEF1D	cyan	cyan
EEF1DP3	turquoise	turquoise
EEF1E1	midnightblue	black
EEF1G	cyan	cyan
EEF2	red	blue
EEF2K	turquoise	turquoise
EEFSEC	turquoise	turquoise
EEPD1	turquoise	turquoise
EFCAB10	grey	grey
EFCAB11	brown	brown
EFCAB2	turquoise	turquoise
EFCAB5	brown	brown
EFCAB6	grey	grey
EFCAB7	black	black
EFEMP2	grey	grey
EFHC1	red	blue
EFHC2	turquoise	turquoise
EFHD1	grey	grey
EFHD2	pink	pink
EFNA1	yellow	green
EFNA3	grey	grey
EFNA4	blue	blue
EFNB1	grey	grey
EFNB2	grey	grey
EFR3A	magenta	magenta
EFR3B	grey	grey
EFTUD1	brown	brown
EFTUD2	red	blue
EGFEM1P	grey	grey
EGLN1	grey	grey
EGLN2	grey	grey
EGLN3	tan	brown
EGOT	grey	grey
EGR1	grey	grey
EGR2	greenyellow	greenyellow
EHBP1	brown	brown
EHBP1L1	pink	pink
EHD1	turquoise	turquoise
EHD2	salmon	purple
EHD3	turquoise	turquoise
EHD4	yellow	green
EHHADH	turquoise	turquoise
EHMT1	salmon	purple
EHMT2	blue	blue
EI24	pink	pink
EID1	turquoise	turquoise
EID2	turquoise	turquoise
EID2B	yellow	green
EID3	yellow	green
EIF1	green	green
EIF1AD	yellow	green
EIF1AX	grey	grey
EIF1AY	grey	grey
EIF1B	black	black
EIF2A	midnightblue	black
EIF2AK1	red	blue
EIF2AK2	red	blue
EIF2AK3	green	green
EIF2AK4	turquoise	turquoise
EIF2B1	turquoise	turquoise
EIF2B2	blue	blue
EIF2B3	turquoise	turquoise
EIF2B4	blue	blue
EIF2B5	red	blue
EIF2D	turquoise	turquoise
EIF2S1	red	blue
EIF2S2	brown	brown
EIF2S3	grey	grey
EIF3A	green	green
EIF3B	yellow	green
EIF3D	red	blue
EIF3E	midnightblue	black
EIF3F	yellow	green
EIF3G	blue	blue
EIF3H	midnightblue	black
EIF3I	blue	blue
EIF3J	black	black
EIF3K	blue	blue
EIF3L	cyan	cyan
EIF3M	midnightblue	black
EIF4A2	red	blue
EIF4A3	yellow	green
EIF4B	cyan	cyan
EIF4E	black	black
EIF4E2	red	blue
EIF4E3	salmon	purple
EIF4EBP1	turquoise	turquoise
EIF4EBP2	turquoise	turquoise
EIF4EBP3	turquoise	turquoise
EIF4ENIF1	red	blue
EIF4G1	yellow	green
EIF4G2	midnightblue	black
EIF4G3	turquoise	turquoise
EIF4H	yellow	green
EIF5	green	green
EIF5A	yellow	green
EIF5A2	tan	brown
EIF5AL1	yellow	green
EIF5B	purple	purple
EIF6	blue	blue
ELAC1	green	green
ELAC2	blue	blue
ELAVL1	turquoise	turquoise
ELF1	black	black
ELF2	green	green
ELF3	green	green
ELF4	turquoise	turquoise
ELK1	yellow	green
ELK3	turquoise	turquoise
ELK4	magenta	magenta
ELL	yellow	green
ELL2	greenyellow	greenyellow
ELL3	grey	grey
ELMO1	blue	blue
ELMO2	yellow	green
ELMO3	turquoise	turquoise
ELMOD1	blue	blue
ELMOD2	tan	brown
ELMOD3	turquoise	turquoise
ELOF1	red	blue
ELOVL1	red	blue
ELOVL4	grey	grey
ELOVL5	blue	blue
ELOVL6	grey	grey
ELOVL7	yellow	green
ELP2	magenta	magenta
ELP3	turquoise	turquoise
ELP4	brown	brown
EMB	brown	brown
EMBP1	brown	brown
EMD	yellow	green
EME1	grey	grey
EME2	purple	purple
EMG1	red	blue
EMILIN1	blue	blue
EMILIN2	blue	blue
EML2	blue	blue
EML3	pink	pink
EML4	green	green
EML5	turquoise	turquoise
EML6	grey	grey
EMP1	green	green
EMP2	purple	purple
EMP3	blue	blue
EMR1	turquoise	turquoise
EMR2	turquoise	turquoise
EMR4P	grey	grey
EMX2OS	purple	purple
ENAH	yellow	green
ENC1	greenyellow	greenyellow
ENDOD1	red	blue
ENDOG	black	black
ENDOV	turquoise	turquoise
ENG	turquoise	turquoise
ENGASE	pink	pink
ENKUR	grey	grey
ENO1	turquoise	turquoise
ENO1-AS1	grey	grey
ENO2	blue	blue
ENO3	cyan	cyan
ENOPH1	yellow	green
ENOSF1	blue	blue
ENOX2	turquoise	turquoise
ENPP1	grey	grey
ENPP2	grey	grey
ENPP3	grey	grey
ENPP4	midnightblue	black
ENPP5	greenyellow	greenyellow
ENPP6	grey	grey
ENSA	pink	pink
ENTPD1	blue	blue
ENTPD3-AS1	turquoise	turquoise
ENTPD4	purple	purple
ENTPD5	turquoise	turquoise
ENTPD6	blue	blue
ENTPD7	grey	grey
ENY2	black	black
EOMES	blue	blue
EP300	green	green
EP400	purple	purple
EP400NL	blue	blue
EPAS1	black	black
EPB41	turquoise	turquoise
EPB41L2	grey	grey
EPB41L4A	black	black
EPB41L4A-AS1	brown	brown
EPB41L5	grey	grey
EPB42	turquoise	turquoise
EPC1	black	black
EPC2	magenta	magenta
EPG5	magenta	magenta
EPGN	grey	grey
EPHA1	brown	brown
EPHA10	green	green
EPHA4	blue	blue
EPHB1	grey	grey
EPHB4	grey	grey
EPHB6	turquoise	turquoise
EPHX1	turquoise	turquoise
EPHX2	turquoise	turquoise
EPHX4	turquoise	turquoise
EPM2A	grey	grey
EPM2AIP1	magenta	magenta
EPN1	green	green
EPN2	blue	blue
EPOR	red	blue
EPPK1	grey	grey
EPRS	brown	brown
EPS15	tan	brown
EPS15L1	turquoise	turquoise
EPS8	grey	grey
EPS8L1	blue	blue
EPS8L2	turquoise	turquoise
EPSTI1	turquoise	turquoise
EPT1	black	black
ERAL1	blue	blue
ERAP1	brown	brown
ERAP2	blue	blue
ERBB2	yellow	green
ERBB2IP	brown	brown
ERBB3	purple	purple
ERC1	salmon	purple
ERCC1	turquoise	turquoise
ERCC2	turquoise	turquoise
ERCC3	yellow	green
ERCC4	tan	brown
ERCC5	yellow	green
ERCC6	green	green
ERCC6L	grey	grey
ERCC8	brown	brown
EREG	green	green
ERF	green	green
ERGIC1	pink	pink
ERGIC2	brown	brown
ERGIC3	red	blue
ERH	black	black
ERI1	tan	brown
ERI2	brown	brown
ERI3	turquoise	turquoise
ERICH1	red	blue
ERLEC1	midnightblue	black
ERLIN1	green	green
ERLIN2	blue	blue
ERMAP	turquoise	turquoise
ERMN	purple	purple
ERMP1	brown	brown
ERN1	salmon	purple
ERO1L	blue	blue
ERO1LB	magenta	magenta
ERP27	magenta	magenta
ERP29	blue	blue
ERP44	midnightblue	black
ERRFI1	greenyellow	greenyellow
ERV3-1	blue	blue
ERVFRD-1	grey	grey
ERVV-1	yellow	green
ESAM	turquoise	turquoise
ESCO1	midnightblue	black
ESCO2	blue	blue
ESD	brown	brown
ESF1	midnightblue	black
ESM1	grey	grey
ESPN	grey	grey
ESPNP	grey	grey
ESR1	pink	pink
ESR2	salmon	purple
ESRG	pink	pink
ESRP2	turquoise	turquoise
ESRRA	turquoise	turquoise
ESYT1	turquoise	turquoise
ESYT2	turquoise	turquoise
ETAA1	turquoise	turquoise
ETF1	green	green
ETFA	brown	brown
ETFB	turquoise	turquoise
ETFDH	purple	purple
ETHE1	blue	blue
ETNK1	tan	brown
ETNK2	yellow	green
ETS1	brown	brown
ETS2	cyan	cyan
ETV2	pink	pink
ETV3	greenyellow	greenyellow
ETV4	yellow	green
ETV6	salmon	purple
ETV7	turquoise	turquoise
EVC	grey	grey
EVC2	pink	pink
EVI2A	midnightblue	black
EVI2B	pink	pink
EVI5	purple	purple
EVI5L	turquoise	turquoise
EVL	pink	pink
EWSR1	yellow	green
EXD1	green	green
EXD2	turquoise	turquoise
EXD3	blue	blue
EXO1	grey	grey
EXOC1	magenta	magenta
EXOC2	turquoise	turquoise
EXOC3	blue	blue
EXOC3L1	grey	grey
EXOC3L2	purple	purple
EXOC4	salmon	purple
EXOC5	tan	brown
EXOC6	brown	brown
EXOC6B	brown	brown
EXOC7	turquoise	turquoise
EXOC8	yellow	green
EXOG	purple	purple
EXOSC1	turquoise	turquoise
EXOSC10	yellow	green
EXOSC2	blue	blue
EXOSC3	tan	brown
EXOSC4	blue	blue
EXOSC5	turquoise	turquoise
EXOSC6	yellow	green
EXOSC7	red	blue
EXOSC8	blue	blue
EXOSC9	black	black
EXPH5	grey	grey
EXT1	midnightblue	black
EXT2	turquoise	turquoise
EXTL2	turquoise	turquoise
EXTL3	turquoise	turquoise
EYA3	turquoise	turquoise
EYS	grey	grey
EZH1	salmon	purple
EZH2	black	black
EZR	yellow	green
F11R	yellow	green
F12	turquoise	turquoise
F13A1	grey	grey
F2R	grey	grey
F2RL1	yellow	green
F2RL2	purple	purple
F2RL3	yellow	green
F3	yellow	green
F5	turquoise	turquoise
F8	green	green
F8A1	pink	pink
FAAH	blue	blue
FAAH2	blue	blue
FABP3	grey	grey
FABP5	grey	grey
FADD	yellow	green
FADS1	green	green
FADS2	green	green
FADS3	yellow	green
FADS6	grey	grey
FAF1	pink	pink
FAF2	green	green
FAH	turquoise	turquoise
FAHD1	turquoise	turquoise
FAHD2A	blue	blue
FAHD2B	turquoise	turquoise
FAIM	brown	brown
FAIM3	turquoise	turquoise
FAM101B	turquoise	turquoise
FAM102A	turquoise	turquoise
FAM102B	grey	grey
FAM103A1	midnightblue	black
FAM104A	midnightblue	black
FAM104B	brown	brown
FAM105A	midnightblue	black
FAM106A	purple	purple
FAM107B	brown	brown
FAM109A	turquoise	turquoise
FAM109B	brown	brown
FAM110A	blue	blue
FAM110B	grey	grey
FAM110C	grey	grey
FAM111A	brown	brown
FAM111B	black	black
FAM114A1	pink	pink
FAM114A2	brown	brown
FAM117A	turquoise	turquoise
FAM117B	green	green
FAM118A	grey	grey
FAM118B	turquoise	turquoise
FAM120A	brown	brown
FAM120AOS	pink	pink
FAM120B	purple	purple
FAM120C	salmon	purple
FAM122A	yellow	green
FAM122B	magenta	magenta
FAM122C	turquoise	turquoise
FAM124A	grey	grey
FAM124B	grey	grey
FAM126A	brown	brown
FAM126B	black	black
FAM127A	turquoise	turquoise
FAM127B	pink	pink
FAM129A	yellow	green
FAM129B	turquoise	turquoise
FAM131A	turquoise	turquoise
FAM133B	magenta	magenta
FAM134A	pink	pink
FAM134B	black	black
FAM134C	blue	blue
FAM135A	magenta	magenta
FAM136A	yellow	green
FAM13A	brown	brown
FAM13A-AS1	tan	brown
FAM13B	tan	brown
FAM149B1	brown	brown
FAM150B	turquoise	turquoise
FAM153A	grey	grey
FAM153B	grey	grey
FAM153C	grey	grey
FAM156A	brown	brown
FAM157A	yellow	green
FAM157B	yellow	green
